,Precinct,OfnsDesc,CrimeCount
483,19,OTHER STATE LAWS (NON PENAL LAW),62
484,19,OFFENSES AGAINST THE PERSON,13
485,19,FRAUDULENT ACCOSTING,12
486,19,MISCELLANEOUS PENAL LAW,60
487,19,PETIT LARCENY,115
488,19,DANGEROUS DRUGS,123
489,19,INTOXICATED/IMPAIRED DRIVING,9
490,19,CRIMINAL TRESPASS,48
491,19,OFFENSES AGAINST PUBLIC ADMINISTRATION,62
492,19,GRAND LARCENY,286
493,19,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,25
494,19,FORGERY,115
495,19,POSSESSION OF STOLEN PROPERTY,26
496,19,GRAND LARCENY OF MOTOR VEHICLE,2
497,19,MURDER & NON-NEGL. MANSLAUGHTER,2
498,19,ASSAULT 3 & RELATED OFFENSES,236
499,19,OFFENSES RELATED TO CHILDREN,1
500,19,LOITERING FOR DRUG PURPOSES,1
501,19,GAMBLING,4
502,19,JOSTLING,1
503,19,BURGLARY,79
504,19,SEX CRIMES,13
505,19,FORCIBLE TOUCHING,19
506,19,HARRASSMENT 2,1
507,19,INTOXICATED & IMPAIRED DRIVING,66
508,19,ROBBERY,69
509,19,HARASSMENT,21
510,19,POSSESSION OF STOLEN PROPERTY 5,662
511,19,DANGEROUS WEAPONS,38
512,19,ALCOHOLIC BEVERAGE CONTROL LAW,4
513,19,RAPE,1
514,19,VEHICLE AND TRAFFIC LAWS,81
515,19,F.C.A. P.I.N.O.S.,2
516,20,FORGERY,39
517,20,ASSAULT 3 & RELATED OFFENSES,219
518,20,PETIT LARCENY,115
519,20,OFFENSES INVOLVING FRAUD,7
520,20,RAPE,4
521,20,POSSESSION OF STOLEN PROPERTY 5,224
522,20,FRAUDS,6
523,20,FORCIBLE TOUCHING,8
524,20,MURDER & NON-NEGL. MANSLAUGHTER,1
525,20,ESCAPE 3,1
526,20,OTHER STATE LAWS (NON PENAL LAW),126
527,20,OTHER TRAFFIC INFRACTION,227
528,20,MISCELLANEOUS PENAL LAW,43
529,20,CRIMINAL TRESPASS,103
530,20,BURGLAR'S TOOLS,13
531,20,ARSON,2
532,20,FELONY ASSAULT,82
533,20,INTOXICATED/IMPAIRED DRIVING,2
534,20,ROBBERY,42
535,20,OTHER STATE LAWS,105
536,20,DISORDERLY CONDUCT,19
537,20,HARRASSMENT 2,4
538,20,BURGLARY,41
539,20,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,19
540,20,ANTICIPATORY OFFENSES,1
541,20,PROSTITUTION & RELATED OFFENSES,2
542,20,KIDNAPPING & RELATED OFFENSES,3
543,20,DANGEROUS WEAPONS,60
544,20,THEFT-FRAUD,10
545,20,DANGEROUS DRUGS,172
546,20,CRIMINAL MISCHIEF & RELATED OFFENSES,89
547,20,HARASSMENT,18
548,20,OFFENSES AGAINST THE PERSON,19
549,20,GRAND LARCENY,153
550,20,OTHER OFFENSES RELATED TO THEFT,112
551,20,MOVING INFRACTIONS,6
552,20,VEHICLE AND TRAFFIC LAWS,32
553,20,POSSESSION OF STOLEN PROPERTY,14
554,20,OFFENSES AGAINST PUBLIC ADMINISTRATION,71
555,20,F.C.A. P.I.N.O.S.,2
556,20,SEX CRIMES,11
557,20,INTOXICATED & IMPAIRED DRIVING,46
558,22,MOVING INFRACTIONS,2
559,22,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,49
560,22,PETIT LARCENY,19
561,22,ASSAULT 3 & RELATED OFFENSES,17
562,22,DANGEROUS DRUGS,187
563,22,POSSESSION OF STOLEN PROPERTY,3
564,22,OFFENSES INVOLVING FRAUD,6
565,22,SEX CRIMES,2
566,22,INTOXICATED & IMPAIRED DRIVING,2
567,22,FORCIBLE TOUCHING,2
568,22,FELONY ASSAULT,5
569,22,POSSESSION OF STOLEN PROPERTY 5,35
570,22,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),1
571,22,DANGEROUS WEAPONS,8
572,22,ADMINISTRATIVE CODE,1
573,22,FRAUDS,1
574,22,VEHICLE AND TRAFFIC LAWS,5
575,22,CRIMINAL TRESPASS,4
576,22,OTHER STATE LAWS (NON PENAL LAW),211
577,22,RAPE,1
578,22,FORGERY,4
579,22,DISORDERLY CONDUCT,4
580,22,INTOXICATED/IMPAIRED DRIVING,1
581,22,MISCELLANEOUS PENAL LAW,14
582,22,GRAND LARCENY,5
583,22,HARRASSMENT 2,2
584,22,OFFENSES AGAINST PUBLIC ADMINISTRATION,19
585,22,OTHER STATE LAWS,16
586,22,OTHER TRAFFIC INFRACTION,91
587,22,ROBBERY,30
588,22,OFFENSES AGAINST THE PERSON,4
589,22,CRIMINAL MISCHIEF & RELATED OFFENSES,6
590,23,F.C.A. P.I.N.O.S.,5
591,23,CRIMINAL TRESPASS,712
